region,city,company,type,store_count,address,contact_name,role,email,phone,instagram,followers,website,price_range_jpy_est,quantity_kg_yr_est,v_disposable_income,v_uji_branding,v_labour_cost,v_cost_ratio,v_gouged_by_local_trader,q_near_station_mall_school_office,q_sns_buzz,q_store_count,q_brand_legacy,persona_fit,priority,sku_primary,sku_secondary,current_supplier,status,last_contact,next_action,notes
BENCHMARK,-,Maicha Matcha,cafe,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,40000+,TBC,TBC,TBC,TBC,high,TBC,TBC,TBC,<=2,yes,YES,EXISTING,FA002,FA001,First Agri,existing customer,TBC,挨拶回り,FA002購入実績のベンチマーク顧客。ペルソナ導出の元データ
BENCHMARK,-,HyphenSpace,cafe,TBC,TBC,Alex,TBC,TBC,TBC,TBC,TBC,TBC,40000+,TBC,TBC,TBC,TBC,high,TBC,TBC,TBC,<=2,yes,YES,EXISTING,FA002,FA001,First Agri,existing customer,TBC,挨拶回り,同上。窓口=Alex
BENCHMARK,Australia,OUJI Matcha,cafe,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,40000+,TBC,TBC,yes,TBC,high,TBC,TBC,TBC,<=2,yes,YES,EXISTING,FA002,FA001,First Agri,existing customer,TBC,-,宇治抹茶を売りにしている＝PriceRange変数の実例
BENCHMARK,Melbourne,T2 Tea,retail/wholesale,TBC,32 Gipps St Collingwood,Olivia / Emma,Head of Buying / Junior Buyer,TBC,TBC,TBC,TBC,TBC,40000+,1008,yes,TBC,TBC,high,TBC,TBC,TBC,many,yes,YES,EXISTING,FA002,-,First Agri,contract in CFO review,2026-07,契約締結,FA002 1008kg年間・成約単価$260。⚠️本社アポなし訪問禁止
BENCHMARK,Saudi Arabia,IOTA,cafe,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,40000+,TBC,yes,TBC,TBC,high,TBC,TBC,TBC,<=2,yes,YES,EXISTING,FA002,FA001,First Agri,existing customer,TBC,-,可処分所得の高い地域の実例
BENCHMARK,Australia,Matcha-Ya,cafe,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,40000+,TBC,TBC,yes,TBC,high,TBC,TBC,TBC,<=2,yes,YES,EXISTING,FA002,FA001,First Agri,existing customer,TBC,-,宇治抹茶ブランディング型
US-CA,Los Angeles,Rocky's Matcha,distributor,-,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,22500,3000,yes,TBC,TBC,TBC,TBC,TBC,TBC,-,yes,-,S,FA003,FA004/FA005,First Agri,F格3t予約打診中・COA取得・1kgサンプル評価中,2026-07,即決受注を狙う（9月末まで）,⭐経営会議の最優先。9月受注で粗利5400万・キャッシュ1.2億回復の分岐点
US-CA,TBC,Den's Tea,distributor,-,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,22500,3180,TBC,TBC,TBC,TBC,TBC,TBC,TBC,-,yes,-,S,FA003,FA005,First Agri,年間契約手続中（来年5月まで有効）,2026-07,挨拶回り＋追加数量,FA005 1500kg＋FA003 1680kg
US-CA,TBC,Academic Coffee,cafe,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,-,S,TBC,TBC,First Agri,既存顧客（分割払い残金）,TBC,挨拶回り,"過去実績 ¥2,680,307"
US-NY,New York,TBC,cafe,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,yes,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,FA001,FA002,TBC,未調査,-,現地で飛び込みリスト化,⚠️NY未開拓が広大・抹茶カフェ乱立。飛び込みで月10kg×40店＝年1.2tが現実的
US-TX,Dallas,TBC,cafe,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,yes,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,FA001,FA002,TBC,未調査,-,現地で飛び込みリスト化,⚠️ダラスは可処分所得が高くPriceRange変数に適合。ほぼ未営業
US-WA,Seattle,TBC,cafe,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,FA002,FA003,TBC,未調査,-,現地で飛び込みリスト化,-
